value,count,m2,hectare
"0.00000000","59114766","52692867899.45471954","5269287"
"3.00000000","2768744","2467963111.60916805","246796"
"4.00000000","5126","4569139.98192270","457"
"6.00000000","69796","62213752.27824368","6221"
"9.00000000","172","153314.88039226","15"
"11.00000000","348321","310481351.47157592","31048"
"12.00000000","2720137","2424636504.68343306","242464"
"15.00000000","202438","180446266.02818349","18045"
"24.00000000","2663","2373706.54932894","237"
"25.00000000","347","309303.85753554","31"
"29.00000000","6995","6235102.25781298","624"
"33.00000000","15659","13957893.67478104","1396"
"39.00000000","1981","1765795.22126197","177"
"41.00000000","5251","4680560.67988219","468"
