value,ano,hectares
0,buffer85_ha,-136688
0,buffer23_ha,-138315
3,buffer85_ha,140826
3,buffer23_ha,113060
4,buffer85_ha,320
4,buffer23_ha,396
6,buffer85_ha,14309
6,buffer23_ha,10151
11,buffer85_ha,49773
11,buffer23_ha,51208
12,buffer85_ha,218944
12,buffer23_ha,214319
15,buffer85_ha,2700
15,buffer23_ha,26471
24,buffer85_ha,6
24,buffer23_ha,185
25,buffer85_ha,11
25,buffer23_ha,219
29,buffer85_ha,49
29,buffer23_ha,48
33,buffer85_ha,7417
33,buffer23_ha,5756
41,buffer85_ha,305
41,buffer23_ha,2644
9,buffer85_ha,0
9,buffer23_ha,1786
39,buffer85_ha,0
39,buffer23_ha,8438
