value,ano,hectares
0,hectare_ti85,5267660
0,hectare_ti23,5269287
3,hectare_ti85,264588
3,hectare_ti23,246796
4,hectare_ti85,469
4,hectare_ti23,457
6,hectare_ti85,8109
6,hectare_ti23,6221
11,hectare_ti85,29697
11,hectare_ti23,31048
12,hectare_ti85,237132
12,hectare_ti23,242464
15,hectare_ti85,3711
15,hectare_ti23,18045
24,hectare_ti85,24
24,hectare_ti23,237
25,hectare_ti85,1
25,hectare_ti23,31
29,hectare_ti85,624
29,hectare_ti23,624
33,hectare_ti85,3544
33,hectare_ti23,1396
41,hectare_ti85,101
41,hectare_ti23,468
9,hectare_ti85,0
9,hectare_ti23,15
39,hectare_ti85,0
39,hectare_ti23,177
