value,count,m2,hectare
"0.00000000","814780449","727401159223.86706543","72740116"
"3.00000000","92569755","82642320613.74531555","8264232"
"4.00000000","78824","70370698.07582250","7037"
"6.00000000","3252711","2903881352.23925066","290388"
"11.00000000","3042777","2716461250.11490107","271646"
"12.00000000","24084608","21501708589.29436874","2150171"
"15.00000000","168820","150715280.23394340","15072"
"24.00000000","4366","3897778.18683448","390"
"25.00000000","451","402633.52319339","40"
"29.00000000","1174853","1048858542.40427148","104886"
"30.00000000","150","133913.58864525","13"
"33.00000000","909630","812078784.26253963","81208"
"41.00000000","14541","12981583.28327077","1298"
