value,ano,hectares
0,buffer85_ha,225935
0,buffer23_ha,587940
3,buffer85_ha,501661
3,buffer23_ha,457651
4,buffer85_ha,378
4,buffer23_ha,447
6,buffer85_ha,54688
6,buffer23_ha,46880
11,buffer85_ha,57735
11,buffer23_ha,59122
12,buffer85_ha,241963
12,buffer23_ha,233780
15,buffer85_ha,4064
15,buffer23_ha,47826
24,buffer85_ha,234
24,buffer23_ha,778
25,buffer85_ha,4
25,buffer23_ha,220
29,buffer85_ha,681
29,buffer23_ha,658
30,buffer85_ha,0
30,buffer23_ha,0
33,buffer85_ha,19413
33,buffer23_ha,17133
41,buffer85_ha,332
41,buffer23_ha,3932
9,buffer85_ha,0
9,buffer23_ha,1797
35,buffer85_ha,0
35,buffer23_ha,50
39,buffer85_ha,0
39,buffer23_ha,11346
