value,count,m2,hectare
"0.00000000","57558468","51309718075.35318756","5130972"
"3.00000000","4547877","4054143461.76453161","405414"
"4.00000000","8854","7892778.58888074","789"
"6.00000000","251479","224177554.41079053","22418"
"11.00000000","891483","794700466.99245167","79470"
"12.00000000","5116190","4560758401.69931602","456076"
"15.00000000","71913","64105871.54531066","6411"
"24.00000000","338","301305.53004763","30"
"25.00000000","135","120343.92472316","12"
"29.00000000","7546","6726779.67378519","673"
"33.00000000","122957","109608355.20137893","10961"
"41.00000000","4556","4061384.60028695","406"
