value,count,m2,hectare
"0.00000000","59091810","52676595069.59687805","5267660"
"3.00000000","2968104","2645876180.34463263","264588"
"4.00000000","5257","4686281.57236800","469"
"6.00000000","90968","81092193.66086584","8109"
"11.00000000","333137","296970474.44815612","29697"
"12.00000000","2660112","2371320876.17176533","237132"
"15.00000000","41634","37114066.38462414","3711"
"24.00000000","273","243362.15888462","24"
"25.00000000","10","8914.36479431","1"
"29.00000000","7004","6243621.10193370","624"
"33.00000000","39755","35439057.23977357","3544"
"41.00000000","1136","1012671.84063345","101"
